key,status,value,used_exact,dynamic_risk,builtin_risk,runtime_value_seen,exact_files,runtime_pages,notes
accessibility.close,used_exact,Close,True,False,False,True,snippets/header--predictive-search.liquid; sections/s--find-your-cable.liquid; sections/password--header.liquid,https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Exact key path found in source files; Translated value found in fetched storefront HTML
accessibility.error,used_exact,Error,True,False,False,True,sections/password--header.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
accessibility.link_messages.new_window,used_exact,Opens in a new window.,True,False,False,False,templates/gift_card.liquid,,Exact key path found in source files
accessibility.loading,used_exact,Loading...,True,False,False,True,snippets/cart--items.liquid; snippets/header--predictive-search.liquid; snippets/m--quantity-atc.liquid; snippets/_script-variables.liquid,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Exact key path found in source files; Translated value found in fetched storefront HTML
accessibility.skip_to_text,used_exact,Skip to content,True,False,False,False,layout/theme.liquid; layout/password.liquid,,Exact key path found in source files
accessibility.star_reviews_info,used_exact,{{ rating_value }} out of {{ rating_max }} stars,True,False,False,False,snippets/product--rating.liquid,,Exact key path found in source files
accessibility.total_reviews,used_exact,Total reviews,True,False,False,False,snippets/product--rating.liquid,,Exact key path found in source files
accessibility.unit_price_separator,runtime_value_seen,per,False,False,False,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Translated value found in fetched storefront HTML
blogs.article.email,runtime_value_seen,Email,False,False,False,True,,https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw,Translated value found in fetched storefront HTML
blogs.article.name,runtime_value_seen,Name,False,False,False,True,,https://voldt.it/; https://voldt.it/cart; https://voldt.it/collections/all; https://voldt.it/search?q=zzzzunlikelyquery&type=product&page=1; https://voldt.it/blogs/notizie; https://voldt.it/pages/faq; https://voldt.it/pages/diventare-partner; https://voldt.it/pages/reso-gratuito; https://voldt.it/products/cavo-di-ricarica-presa-comando-rossa-tipo-2-32a-trifase-regolabile-8a-32a-22kw; https://voldt.it/products/cavo-di-ricarica-presa-comando-tipo-da-2-a-16a-monofase-regolabile-8a-16a-3-7kw-ev; https://voldt.it/products/tipo-2-cee-modalita-3-regolabile-8a-16a-11kw; https://voldt.it/products/tipo-2-schuko-8a-16a-37kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-16a-11kw; https://voldt.it/products/tipo-2-tipo-2-modalita-3-32a-22kw; https://voldt.it/pages/algemeen; https://voldt.it/pages/autos; https://voldt.it/pages/garantie-en-reclamatie; https://voldt.it/pages/impressum; https://voldt.it/pages/in-quali-paesi-viaggiate-con-il-vostro-veicolo-elettrico; https://voldt.it/pages/informatie-levering; https://voldt.it/blogs/notizie/come-la-sezione-del-cavo-influisce-sulla-velocita-e-sulla-sicurezza-della-ricarica-ev; https://voldt.it/blogs/notizie/come-la-temperatura-influisce-sul-tuo-cavo-di-ricarica-per-veicoli-elettrici; https://voldt.it/blogs/notizie/perche-i-cavi-di-ricarica-ev-certificati-vengono-testati-singolarmente-prima-della-spedizione; https://voldt.it/blogs/notizie/perche-i-conducenti-di-ve-scelgono-cavi-di-ricarica-32a; https://voldt.it/blogs/notizie/quale-cavo-di-ricarica-dovrei-scegliere; https://voldt.it/blogs/notizie/tipi-di-cavi-di-ricarica-per-auto-elettriche-guida-completa,Translated value found in fetched storefront HTML
